Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Day_of_Week,Vader_Score,temp_list
Enjoying a beautiful day at the park!,positive,2023-01-15 12:30:00,User123,Twitter,#Nature #Park,15,30,USA,2023,January,15,12,Sunday,0.8221,"['Enjoying', 'a', 'beautiful', 'day', 'at', 'the', 'park!']"
Traffic was terrible this morning.,negative,2023-01-15 08:45:00,CommuterX,Twitter,#Traffic #Morning,5,10,Canada,2023,January,15,8,Sunday,-0.4767,"['Traffic', 'was', 'terrible', 'this', 'morning.']"
Just finished an amazing workout! 💪,positive,2023-01-15 15:45:00,FitnessFan,Instagram,#Fitness #Workout,20,40,USA,2023,January,15,15,Sunday,0.6239,"['Just', 'finished', 'an', 'amazing', 'workout!', '💪']"
Excited about the upcoming weekend getaway!,positive,2023-01-15 18:20:00,AdventureX,Facebook,#Travel #Adventure,8,15,UK,2023,January,15,18,Sunday,0.4003,"['Excited', 'about', 'the', 'upcoming', 'weekend', 'getaway!']"
Trying out a new recipe for dinner tonight.,neutral,2023-01-15 19:55:00,ChefCook,Instagram,#Cooking #Food,12,25,Australia,2023,January,15,19,Sunday,0.0,"['Trying', 'out', 'a', 'new', 'recipe', 'for', 'dinner', 'tonight.']"
Feeling grateful for the little things in life.,positive,2023-01-16 09:10:00,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25,50,India,2023,January,16,9,Monday,0.5423,"['Feeling', 'grateful', 'for', 'the', 'little', 'things', 'in', 'life.']"
Rainy days call for cozy blankets and hot cocoa.,negative,2023-01-16 14:45:00,RainyDays,Facebook,#RainyDays #Cozy,10,20,Canada,2023,January,16,14,Monday,-0.0772,"['Rainy', 'days', 'call', 'for', 'cozy', 'blankets', 'and', 'hot', 'cocoa.']"
The new movie release is a must-watch!,neutral,2023-01-16 19:30:00,MovieBuff,Instagram,#MovieNight #MustWatch,15,30,USA,2023,January,16,19,Monday,0.0,"['The', 'new', 'movie', 'release', 'is', 'a', 'must-watch!']"
Political discussions heating up on the timeline.,neutral,2023-01-17 08:00:00,DebateTalk,Twitter,#Politics #Debate,30,60,USA,2023,January,17,8,Tuesday,0.0,"['Political', 'discussions', 'heating', 'up', 'on', 'the', 'timeline.']"
Missing summer vibes and beach days.,negative,2023-01-17 12:20:00,BeachLover,Facebook,#Summer #BeachDays,18,35,Australia,2023,January,17,12,Tuesday,-0.296,"['Missing', 'summer', 'vibes', 'and', 'beach', 'days.']"
Just published a new blog post. Check it out!,neutral,2023-01-17 15:15:00,BloggerX,Instagram,#Blogging #NewPost,22,45,USA,2023,January,17,15,Tuesday,0.0,"['Just', 'published', 'a', 'new', 'blog', 'post.', 'Check', 'it', 'out!']"
Feeling a bit under the weather today.,positive,2023-01-18 10:30:00,WellnessCheck,Twitter,#SickDay #Health,7,15,Canada,2023,January,18,10,Wednesday,0.128,"['Feeling', 'a', 'bit', 'under', 'the', 'weather', 'today.']"
Exploring the city's hidden gems.,neutral,2023-01-18 14:50:00,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12,25,UK,2023,January,18,14,Wednesday,0.0,"['Exploring', 'the', ""city's"", 'hidden', 'gems.']"
" New year, new fitness goals! 💪                    ",positive,2023-01-18 18:00:00,FitJourney,Instagram,#NewYear #FitnessGoals,28,55,USA,2023,January,18,18,Wednesday,0.3382,"['New', 'year,', 'new', 'fitness', 'goals!', '💪']"
Technology is changing the way we live.,neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter,#Tech #Innovation,15,30,India,2023,January,19,9,Thursday,0.0,"['Technology', 'is', 'changing', 'the', 'way', 'we', 'live.']"
Reflecting on the past and looking ahead.,neutral,2023-01-19 13:20:00,Reflections,Facebook,#Reflection #Future,20,40,USA,2023,January,19,13,Thursday,0.0,"['Reflecting', 'on', 'the', 'past', 'and', 'looking', 'ahead.']"
Just adopted a cute furry friend! 🐾,positive,2023-01-19 17:10:00,PetAdopter,Instagram,#PetAdoption #FurryFriend,15,30,Canada,2023,January,19,17,Thursday,0.7574,"['Just', 'adopted', 'a', 'cute', 'furry', 'friend!', '🐾']"
Late-night gaming session with friends.,positive,2023-01-20 00:05:00,GamerX,Twitter,#Gaming #LateNight,18,35,UK,2023,January,20,0,Friday,0.4767,"['Late-night', 'gaming', 'session', 'with', 'friends.']"
Attending a virtual conference on AI.,neutral,2023-01-20 11:30:00,TechConference,Facebook,#AI #TechConference,25,50,USA,2023,January,20,11,Friday,0.0,"['Attending', 'a', 'virtual', 'conference', 'on', 'AI.']"
Winter blues got me feeling low.,negative,2023-01-20 15:15:00,WinterBlues,Instagram,#WinterBlues #Mood,8,15,USA,2023,January,20,15,Friday,-0.1531,"['Winter', 'blues', 'got', 'me', 'feeling', 'low.']"
Sipping coffee and enjoying a good book.,positive,2023-01-21 08:40:00,Bookworm,Twitter,#Reading #CoffeeTime,22,45,India,2023,January,21,8,Saturday,0.743,"['Sipping', 'coffee', 'and', 'enjoying', 'a', 'good', 'book.']"
